date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:57	4163/4163	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2003:45:26%20GMT	https://nitu.trade/robots.txt		(from )
21:45:58	19394/19394	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2003:45:27%20GMT	https://nitu.trade/	C:/Users/lil%20tjay/Desktop/paginas/NITU/nitu.trade/index.html	(from )
21:45:58	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226415fa5a-3aee%22	https://nitu.trade/assets/img/favicon.ico	C:/Users/lil%20tjay/Desktop/paginas/NITU/nitu.trade/assets/img/favicon.ico	(from https://nitu.trade/)
21:45:58	22679/22679	---M--	200	added ('OK')	image/png	etag:%226415fa58-5897%22	https://nitu.trade/assets/img/apple-touch-icon.png	C:/Users/lil%20tjay/Desktop/paginas/NITU/nitu.trade/assets/img/apple-touch-icon.png	(from https://nitu.trade/)
21:45:59	2111/2111	---M--	200	added ('OK')	image/png	etag:%22640f6d20-83f%22	https://nitu.trade/assets/img/favicon-32x32.png	C:/Users/lil%20tjay/Desktop/paginas/NITU/nitu.trade/assets/img/favicon-32x32.png	(from https://nitu.trade/)
21:45:59	1165/1165	---M--	200	added ('OK')	image/png	etag:%22640f6d20-48d%22	https://nitu.trade/assets/img/favicon-16x16.png	C:/Users/lil%20tjay/Desktop/paginas/NITU/nitu.trade/assets/img/favicon-16x16.png	(from https://nitu.trade/)
21:45:59	255324/255324	---MCZ	200	added ('OK')	text/css	etag:W/%226358982e-3e55c%22	https://nitu.trade/assets/lib/bootstrap/bootstrap.min.css	C:/Users/lil%20tjay/Desktop/paginas/NITU/nitu.trade/assets/lib/bootstrap/bootstrap.min.css	(from https://nitu.trade/)
21:46:00	83981/83981	---MCZ	200	added ('OK')	text/css	etag:W/%226357b0f8-1480d%22	https://nitu.trade/assets/lib/font-awesome/css/all.min.css	C:/Users/lil%20tjay/Desktop/paginas/NITU/nitu.trade/assets/lib/font-awesome/css/all.min.css	(from https://nitu.trade/)
21:46:00	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%2262d23e8b-6f0%22	https://nitu.trade/assets/lib/slick/slick.css	C:/Users/lil%20tjay/Desktop/paginas/NITU/nitu.trade/assets/lib/slick/slick.css	(from https://nitu.trade/)
21:46:00	3145/3145	---MCZ	200	added ('OK')	text/css	etag:W/%2262d23e99-c49%22	https://nitu.trade/assets/lib/slick/slick-theme.css	C:/Users/lil%20tjay/Desktop/paginas/NITU/nitu.trade/assets/lib/slick/slick-theme.css	(from https://nitu.trade/)
21:46:00	60362/60362	---MCZ	200	added ('OK')	text/css	etag:W/%22641616ea-ebca%22	https://nitu.trade/assets/css/style.css	C:/Users/lil%20tjay/Desktop/paginas/NITU/nitu.trade/assets/css/style.css	(from https://nitu.trade/)
